seed,val_utility,threshold,AUROC,AUPRC,Precision,Recall,F1,Lift@10%,Utility
0,0.398687983520792,4.440892098500626e-16,0.8497507787184245,0.13048056414858794,0.06866910056422171,0.7269852424455376,0.1254852013585638,5.372140837370963,0.44872153553328586
1,0.43081017640364183,4.440892098500626e-16,0.8469547571677764,0.14072135431779814,0.06831868207932443,0.6953152518492427,0.12441307156587779,5.346918696060492,0.4334365718644184
2,0.44142379473072624,0.010000000000000453,0.8485444609972826,0.11905203509958837,0.07658233239628588,0.6330985915492958,0.1366365225321073,5.175989687804914,0.41954259312734626
3,0.44878193356423896,4.440892098500626e-16,0.8442427454960693,0.12785017818115635,0.06766379339715853,0.7047551454932577,0.12347290870092324,5.432721781892563,0.43003617269544914
4,0.4145183497127663,4.440892098500626e-16,0.847545774322503,0.13641394592895184,0.06856373126789021,0.7199434229137199,0.12520370199551087,5.53366432111775,0.4412054902142015
5,0.3820680154569971,0.010000000000000453,0.8589565051844807,0.12945252188177236,0.08024526792855238,0.6374867631486058,0.1425470618414302,5.276819512618325,0.4345573884758363
6,0.43056870659671737,4.440892098500626e-16,0.8373749241386177,0.11560548858903308,0.0642204816536124,0.703202846975089,0.11769260549748355,5.199089126076237,0.41464415578341846
7,0.4337718314183483,0.010000000000000453,0.8499412730844059,0.1484386781631153,0.07621130551816958,0.6439232409381663,0.13629183903723205,5.483016114444792,0.4290864433217701
8,0.4168707709901839,0.010000000000000453,0.8498712962795718,0.12479280901294264,0.07416420649485359,0.6596877217885024,0.13333811504805623,5.3723978201026785,0.4306049243699429
9,0.4243249926405651,0.010000000000000453,0.8290282111395214,0.11952157611300807,0.0735963264454185,0.6258430954916578,0.13170476617361423,4.895247070573519,0.40278223835788585
